"Title","Gross domestic product index: CVM: Seasonally adjusted"
"CDID","YBEZ"
"Source dataset ID","PN2"
"PreUnit",""
"Unit","Index, base year = 100"
"Release date","14-05-2026"
"Next release","30 June 2026"
"Important notes",
"1948","16.5"
"1949","17.1"
"1950","17.7"
"1951","18.3"
"1952","18.6"
"1953","19.6"
"1954","20.5"
"1955","21.3"
"1956","21.7"
"1957","22.1"
"1958","22.4"
"1959","23.3"
"1960","24.8"
"1961","25.5"
"1962","25.7"
"1963","27.0"
"1964","28.5"
"1965","29.1"
"1966","29.6"
"1967","30.4"
"1968","32.1"
"1969","32.7"
"1970","33.6"
"1971","34.8"
"1972","36.3"
"1973","38.6"
"1974","37.7"
"1975","37.1"
"1976","38.2"
"1977","39.2"
"1978","40.8"
"1979","42.3"
"1980","41.5"
"1981","41.2"
"1982","42.0"
"1983","43.8"
"1984","44.8"
"1985","46.6"
"1986","48.1"
"1987","50.7"
"1988","53.4"
"1989","54.7"
"1990","55.1"
"1991","54.3"
"1992","54.4"
"1993","55.7"
"1994","57.6"
"1995","59.0"
"1996","60.5"
"1997","63.5"
"1998","65.5"
"1999","67.4"
"2000","70.5"
"2001","72.2"
"2002","73.4"
"2003","75.8"
"2004","77.5"
"2005","79.7"
"2006","81.4"
"2007","83.8"
"2008","83.8"
"2009","79.9"
"2010","81.8"
"2011","82.4"
"2012","83.7"
"2013","85.1"
"2014","87.8"
"2015","89.7"
"2016","91.7"
"2017","94.5"
"2018","95.9"
"2019","97.1"
"2020","87.4"
"2021","94.8"
"2022","99.7"
"2023","100.0"
"2024","101.0"
"2025","102.4"
"1955 Q1","21.1"
"1955 Q2","21.2"
"1955 Q3","21.5"
"1955 Q4","21.4"
"1956 Q1","21.6"
"1956 Q2","21.6"
"1956 Q3","21.6"
"1956 Q4","21.7"
"1957 Q1","22.1"
"1957 Q2","22.1"
"1957 Q3","22.0"
"1957 Q4","22.1"
"1958 Q1","22.5"
"1958 Q2","22.0"
"1958 Q3","22.5"
"1958 Q4","22.5"
"1959 Q1","22.7"
"1959 Q2","23.0"
"1959 Q3","23.5"
"1959 Q4","24.1"
"1960 Q1","24.7"
"1960 Q2","24.6"
"1960 Q3","24.9"
"1960 Q4","25.1"
"1961 Q1","25.5"
"1961 Q2","25.6"
"1961 Q3","25.5"
"1961 Q4","25.4"
"1962 Q1","25.5"
"1962 Q2","25.8"
"1962 Q3","25.9"
"1962 Q4","25.8"
"1963 Q1","25.9"
"1963 Q2","27.1"
"1963 Q3","27.2"
"1963 Q4","27.8"
"1964 Q1","28.0"
"1964 Q2","28.5"
"1964 Q3","28.6"
"1964 Q4","29.0"
"1965 Q1","29.0"
"1965 Q2","29.0"
"1965 Q3","29.2"
"1965 Q4","29.4"
"1966 Q1","29.4"
"1966 Q2","29.6"
"1966 Q3","29.7"
"1966 Q4","29.6"
"1967 Q1","30.0"
"1967 Q2","30.4"
"1967 Q3","30.5"
"1967 Q4","30.7"
"1968 Q1","31.8"
"1968 Q2","31.7"
"1968 Q3","32.3"
"1968 Q4","32.4"
"1969 Q1","32.4"
"1969 Q2","32.6"
"1969 Q3","32.8"
"1969 Q4","32.9"
"1970 Q1","32.7"
"1970 Q2","33.5"
"1970 Q3","33.8"
"1970 Q4","34.1"
"1971 Q1","34.0"
"1971 Q2","34.6"
"1971 Q3","35.2"
"1971 Q4","35.3"
"1972 Q1","35.4"
"1972 Q2","36.3"
"1972 Q3","36.4"
"1972 Q4","37.0"
"1973 Q1","38.8"
"1973 Q2","38.9"
"1973 Q3","38.5"
"1973 Q4","38.4"
"1974 Q1","37.3"
"1974 Q2","37.8"
"1974 Q3","38.1"
"1974 Q4","37.5"
"1975 Q1","37.5"
"1975 Q2","36.9"
"1975 Q3","36.8"
"1975 Q4","37.2"
"1976 Q1","37.8"
"1976 Q2","37.8"
"1976 Q3","38.2"
"1976 Q4","39.0"
"1977 Q1","39.1"
"1977 Q2","38.8"
"1977 Q3","39.1"
"1977 Q4","39.7"
"1978 Q1","40.1"
"1978 Q2","40.6"
"1978 Q3","41.1"
"1978 Q4","41.5"
"1979 Q1","41.3"
"1979 Q2","43.1"
"1979 Q3","42.2"
"1979 Q4","42.6"
"1980 Q1","42.2"
"1980 Q2","41.4"
"1980 Q3","41.3"
"1980 Q4","40.9"
"1981 Q1","40.9"
"1981 Q2","41.0"
"1981 Q3","41.5"
"1981 Q4","41.5"
"1982 Q1","41.6"
"1982 Q2","42.0"
"1982 Q3","42.1"
"1982 Q4","42.4"
"1983 Q1","43.2"
"1983 Q2","43.5"
"1983 Q3","44.1"
"1983 Q4","44.4"
"1984 Q1","44.8"
"1984 Q2","44.3"
"1984 Q3","44.6"
"1984 Q4","45.4"
"1985 Q1","45.9"
"1985 Q2","46.9"
"1985 Q3","46.9"
"1985 Q4","46.9"
"1986 Q1","47.4"
"1986 Q2","47.8"
"1986 Q3","48.1"
"1986 Q4","49.0"
"1987 Q1","49.4"
"1987 Q2","50.1"
"1987 Q3","51.4"
"1987 Q4","52.0"
"1988 Q1","52.8"
"1988 Q2","53.1"
"1988 Q3","53.7"
"1988 Q4","54.2"
"1989 Q1","54.4"
"1989 Q2","54.8"
"1989 Q3","54.9"
"1989 Q4","54.9"
"1990 Q1","55.2"
"1990 Q2","55.5"
"1990 Q3","54.9"
"1990 Q4","54.6"
"1991 Q1","54.4"
"1991 Q2","54.3"
"1991 Q3","54.2"
"1991 Q4","54.3"
"1992 Q1","54.3"
"1992 Q2","54.2"
"1992 Q3","54.4"
"1992 Q4","54.9"
"1993 Q1","55.1"
"1993 Q2","55.4"
"1993 Q3","55.9"
"1993 Q4","56.3"
"1994 Q1","56.8"
"1994 Q2","57.3"
"1994 Q3","57.9"
"1994 Q4","58.2"
"1995 Q1","58.5"
"1995 Q2","58.6"
"1995 Q3","59.3"
"1995 Q4","59.5"
"1996 Q1","59.9"
"1996 Q2","60.1"
"1996 Q3","60.6"
"1996 Q4","61.4"
"1997 Q1","62.4"
"1997 Q2","63.1"
"1997 Q3","63.7"
"1997 Q4","64.6"
"1998 Q1","65.1"
"1998 Q2","65.4"
"1998 Q3","65.5"
"1998 Q4","66.0"
"1999 Q1","66.4"
"1999 Q2","66.7"
"1999 Q3","67.8"
"1999 Q4","68.9"
"2000 Q1","69.8"
"2000 Q2","70.3"
"2000 Q3","70.7"
"2000 Q4","71.1"
"2001 Q1","71.7"
"2001 Q2","72.0"
"2001 Q3","72.4"
"2001 Q4","72.6"
"2002 Q1","72.8"
"2002 Q2","73.2"
"2002 Q3","73.6"
"2002 Q4","74.1"
"2003 Q1","74.7"
"2003 Q2","75.4"
"2003 Q3","76.2"
"2003 Q4","76.8"
"2004 Q1","77.0"
"2004 Q2","77.4"
"2004 Q3","77.7"
"2004 Q4","78.0"
"2005 Q1","78.6"
"2005 Q2","79.3"
"2005 Q3","80.0"
"2005 Q4","80.9"
"2006 Q1","81.1"
"2006 Q2","81.4"
"2006 Q3","81.5"
"2006 Q4","81.8"
"2007 Q1","82.7"
"2007 Q2","83.5"
"2007 Q3","84.2"
"2007 Q4","85.0"
"2008 Q1","85.3"
"2008 Q2","84.8"
"2008 Q3","83.4"
"2008 Q4","81.7"
"2009 Q1","80.0"
"2009 Q2","79.8"
"2009 Q3","79.9"
"2009 Q4","80.1"
"2010 Q1","80.8"
"2010 Q2","81.7"
"2010 Q3","82.2"
"2010 Q4","82.3"
"2011 Q1","82.4"
"2011 Q2","82.3"
"2011 Q3","82.5"
"2011 Q4","82.6"
"2012 Q1","83.3"
"2012 Q2","83.3"
"2012 Q3","84.2"
"2012 Q4","84.0"
"2013 Q1","84.3"
"2013 Q2","84.8"
"2013 Q3","85.5"
"2013 Q4","86.0"
"2014 Q1","86.7"
"2014 Q2","87.5"
"2014 Q3","88.3"
"2014 Q4","88.8"
"2015 Q1","89.1"
"2015 Q2","89.5"
"2015 Q3","89.9"
"2015 Q4","90.4"
"2016 Q1","90.9"
"2016 Q2","91.5"
"2016 Q3","91.9"
"2016 Q4","92.5"
"2017 Q1","93.4"
"2017 Q2","94.2"
"2017 Q3","94.8"
"2017 Q4","95.5"
"2018 Q1","95.6"
"2018 Q2","95.8"
"2018 Q3","96.1"
"2018 Q4","96.2"
"2019 Q1","96.7"
"2019 Q2","96.9"
"2019 Q3","97.5"
"2019 Q4","97.5"
"2020 Q1","94.8"
"2020 Q2","75.9"
"2020 Q3","88.8"
"2020 Q4","90.0"
"2021 Q1","89.0"
"2021 Q2","95.3"
"2021 Q3","96.9"
"2021 Q4","98.2"
"2022 Q1","99.2"
"2022 Q2","99.8"
"2022 Q3","99.9"
"2022 Q4","100.1"
"2023 Q1","100.2"
"2023 Q2","100.2"
"2023 Q3","100.0"
"2023 Q4","99.6"
"2024 Q1","100.4"
"2024 Q2","101.0"
"2024 Q3","101.2"
"2024 Q4","101.6"
"2025 Q1","102.2"
"2025 Q2","102.3"
"2025 Q3","102.5"
"2025 Q4","102.7"
"2026 Q1","103.3"
