"year","gdp_cvm_sa_million"
"1948","455134"
"1949","470210"
"1950","485925"
"1951","503980"
"1952","511536"
"1953","539917"
"1954","563461"
"1955","586122"
"1956","596062"
"1957","607813"
"1958","615967"
"1959","642287"
"1960","682893"
"1961","701144"
"1962","708681"
"1963","742895"
"1964","785288"
"1965","801911"
"1966","814393"
"1967","836815"
"1968","882470"
"1969","899298"
"1970","923582"
"1971","956960"
"1972","998663"
"1973","1063550"
"1974","1036973"
"1975","1021204"
"1976","1051973"
"1977","1077816"
"1978","1122953"
"1979","1164860"
"1980","1140989"
"1981","1134663"
"1982","1157191"
"1983","1205632"
"1984","1232675"
"1985","1283200"
"1986","1323173"
"1987","1395353"
"1988","1471002"
"1989","1506644"
"1990","1515202"
"1991","1493903"
"1992","1498023"
"1993","1532082"
"1994","1584459"
"1995","1622576"
"1996","1665005"
"1997","1746257"
"1998","1802946"
"1999","1856033"
"2000","1940007"
"2001","1986393"
"2002","2020341"
"2003","2085366"
"2004","2133872"
"2005","2193421"
"2006","2241453"
"2007","2307148"
"2008","2306008"
"2009","2200222"
"2010","2249959"
"2011","2269116"
"2012","2303794"
"2013","2343384"
"2014","2417439"
"2015","2469182"
"2016","2523665"
"2017","2599961"
"2018","2640295"
"2019","2673465"
"2020","2404838"
"2021","2610286"
"2022","2744708"
"2023","2752164"
"2024","2780775"
"2025","2819225"
